Height,Month,Year
610691,1,2020
615428,2,2020
619582,3,2020
623837,4,2020
628350,5,2020
632542,6,2020
637091,7,2020
641680,8,2020
646201,9,2020
650732,10,2020
654933,11,2020
659399,12,2020
663913,1,2021
668548,2,2021
672628,3,2021
677223,4,2021
681296,5,2021
685719,6,2021
689257,7,2021
693628,8,2021
698472,9,2021
702952,10,2021
707634,11,2021
712011,12,2021
716599,1,2022
721258,2,2022
725355,3,2022
729897,4,2022
734315,5,2022
738790,6,2022
743088,7,2022
747429,8,2022
752076,9,2022
756449,10,2022
761192,11,2022
765374,12,2022
769787,1,2023
